quote, author, work
"Every person is wanted, and no person is wanted much.", Emerson, Essays: First Series. Prudence.
Gain not base gains; base gains are the same as losses., Hesiod
"The boy called out 'Wolf, Wolf!' and the villagers came out to help him. A few days afterward he tried the same trick, and again they came to his help. Shortly after this a wolf actually came, but this time the villagers thought the boy was deceiving them again and nobody came to his help.", Aesop, The Shepherd's Boy
"None love the messenger who brings bad news.", Sophocles
"No evil can happen to a good person, either in life or after death.", Socrates
"They who are of a calm and happy nature will hardly feel the pressure of age, but to they who are of an opposite disposition youth and age are equally a burden.", Plato, The Republic Book I
"Perhaps some day it will be pleasant to remember even this.", Virgil, Georgics
"Each of us suffers their own hell.", Virgil, Aeneid
"Appetite comes with eating, says Angeston.", Rabelais
"People fear death as children fear to go in the dark; and as that natural fear in children is increased with tales, so is the other.", Bacon, Of Death
"I think that cars today are almost the exact equivalent of the great Gothic cathedrals I mean the supreme creation of an era conceived with passion by unknown artists, and consumed in image if not in usage by a whole population which appropriates them as a purely magical object.", Roland Barthes, Mythologies [1972]
